기준년월,제주 대분류,제주 중분류,업종명,성별,연령대별,year,month,카드이용금액
2016-04-01,서귀포시,대륜동,슈퍼마켓,여,30대,2016,4,654899.9116153294
2016-04-01,제주시,용담2동,기타음료식품,남,30대,2016,4,1174988.4972897884
2016-04-01,제주시,삼도2동,스넥,여,40대,2016,4,175191.45579743516
2016-04-01,제주시,이도2동,의원,여,40대,2016,4,2366487.2593558384
2016-04-01,제주시,연동,슈퍼마켓,여,30대,2016,4,10523597.117188489
2016-04-01,제주시,용담2동,슈퍼마켓,남,50대,2016,4,4753672.5785388835
2016-04-01,서귀포시,성산읍,스넥,남,30대,2016,4,4021835.3204078637
2016-04-01,서귀포시,성산읍,기타음료식품,여,50대,2016,4,678667.9927558218
2016-04-01,제주시,노형동,기타음료식품,남,40대,2016,4,972911.282587539
2016-04-01,서귀포시,대륜동,슈퍼마켓,남,50대,2016,4,1786567.0344853117
2016-04-01,제주시,애월읍,스넥,여,40대,2016,4,3651942.5555249336
2016-04-01,제주시,애월읍,슈퍼마켓,여,30대,2016,4,4083891.3866276927
2016-04-01,제주시,이도2동,스넥,남,40대,2016,4,2604537.175069321
2016-04-01,제주시,이도2동,의원,남,30대,2016,4,2176293.569471944
2016-04-01,서귀포시,성산읍,의원,남,50대,2016,4,357771.53108367656
2016-04-01,제주시,노형동,슈퍼마켓,남,40대,2016,4,18071069.858481314
2016-04-01,서귀포시,예래동,슈퍼마켓,남,40대,2016,4,984322.4778248824
2016-04-01,제주시,애월읍,슈퍼마켓,여,40대,2016,4,4195675.166197967
2016-04-01,서귀포시,성산읍,기념품점,남,20대,2016,4,1308976.9386023863
2016-04-01,서귀포시,대륜동,스넥,여,30대,2016,4,269236.6677303519
2016-04-01,제주시,용담2동,기타음료식품,남,20대,2016,4,543012.4867545852
2016-04-01,서귀포시,성산읍,슈퍼마켓,여,40대,2016,4,5091679.411759727
2016-04-01,서귀포시,성산읍,스넥,여,30대,2016,4,3618933.565822532
2016-04-01,제주시,애월읍,스넥,여,50대,2016,4,1822648.799333791
2016-04-01,제주시,삼도2동,스넥,남,30대,2016,4,352518.3020767312
2016-04-01,서귀포시,성산읍,슈퍼마켓,여,30대,2016,4,6075601.309617676
2016-04-01,서귀포시,대륜동,슈퍼마켓,여,50대,2016,4,676726.1815318214
2016-04-01,제주시,애월읍,스포츠레져용품,남,50대,2016,4,572455.5371847342
2016-04-01,서귀포시,예래동,스넥,여,20대,2016,4,2069935.816501505
2016-04-01,제주시,삼도2동,스넥,남,50대,2016,4,234223.0002868071
2016-04-01,제주시,노형동,의원,남,50대,2016,4,3173108.9653660003
2016-04-01,제주시,용담2동,스넥,남,20대,2016,4,702015.89744568
2016-04-01,제주시,애월읍,스넥,남,40대,2016,4,5265272.638959406
2016-04-01,서귀포시,성산읍,슈퍼마켓,여,50대,2016,4,3813204.3356942288
2016-04-01,제주시,용담2동,슈퍼마켓,여,40대,2016,4,3612248.134015346
2016-04-01,제주시,연동,약국,남,40대,2016,4,2476787.4340318153
2016-04-01,서귀포시,예래동,기념품점,남,50대,2016,4,511201.2081322359
2016-04-01,제주시,연동,슈퍼마켓,남,40대,2016,4,17470211.29019295
2016-04-01,서귀포시,남원읍,슈퍼마켓,여,40대,2016,4,2177914.503682907
2016-04-01,제주시,이도2동,약국,여,40대,2016,4,1806210.0958604037
2016-04-01,서귀포시,예래동,기념품점,여,40대,2016,4,586915.4070788582
